epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1684.68,1.07298,0.65292,1.00459,0.03393,0.77429,0.49821,0.52613,0.37521,1.15236,0.89669,1.06228,0.03862,0.000185171,0.000185171,0.000185171
38,1731.11,1.0865,0.66005,0.9912,0.03245,0.78211,0.49228,0.52529,0.3751,1.14763,0.89453,1.06215,0.0384,0.000172322,0.000172322,0.000172322
39,1776.98,1.11102,0.67167,0.98267,0.03616,0.78304,0.494,0.5252,0.37504,1.15518,0.89958,1.05969,0.03822,0.000159728,0.000159728,0.000159728
40,1823.54,1.08935,0.64963,0.98205,0.03542,0.74258,0.50588,0.52707,0.37578,1.15352,0.91188,1.06007,0.03889,0.000147424,0.000147424,0.000147424
41,1869.13,1.09513,0.65624,0.9815,0.0352,0.75438,0.50122,0.52709,0.37538,1.14499,0.89388,1.05504,0.0377,0.000135445,0.000135445,0.000135445
42,1913.2,1.06006,0.63394,0.98033,0.034,0.75159,0.51008,0.52928,0.37879,1.14165,0.89125,1.05658,0.03777,0.000123822,0.000123822,0.000123822
43,1959.39,1.06665,0.64544,0.97138,0.03362,0.77297,0.50402,0.53042,0.37905,1.14446,0.90101,1.05256,0.03733,0.000112588,0.000112588,0.000112588
44,2003.94,1.08094,0.64776,0.98768,0.0349,0.76587,0.50298,0.52893,0.37805,1.14279,0.8955,1.05469,0.0373,0.000101774,0.000101774,0.000101774
45,2049.88,1.04131,0.63211,0.983,0.03318,0.76927,0.50468,0.53371,0.38057,1.1371,0.89533,1.05694,0.03578,9.14085e-05,9.14085e-05,9.14085e-05
46,2095.47,1.08829,0.64396,0.98565,0.03274,0.77654,0.5028,0.53064,0.37987,1.13623,0.90073,1.05331,0.03766,8.15206e-05,8.15206e-05,8.15206e-05
47,2139.99,1.05904,0.63345,0.97965,0.03352,0.76169,0.50968,0.53016,0.37645,1.13832,0.8919,1.05411,0.03668,7.21374e-05,7.21374e-05,7.21374e-05
48,2185.78,1.08905,0.64351,0.98206,0.03302,0.78166,0.50017,0.52967,0.37836,1.13028,0.89188,1.05574,0.03706,6.32845e-05,6.32845e-05,6.32845e-05
